32047	1
7615	1
1528	1
50010	1
48870	1
31818	1
28888	1
50573	1
33145	1
25825	1
46996	1
29323	1
27547	1
21420	1
1831	1
28023	1
27648	1
7488	1
53081	1
10617	1
11465	1
22160	1
42404	1
11196	1
20610	1
14900	1
39555	1
8232	1
23369	1
49868	1
39329	1
42281	1
34966	1
5982	1
28184	1
7080	1
31733	1
28304	1
34381	1
28061	1
53449	1
44067	1
15983	1
28053	1
37205	1
37141	1
39481	1
43196	1
12642	1
9501	1
3.40	1
25166	1
21622	1
41048	1
7636	1
50751	1
50576	1
39571	1
37994	1
1303	1
15508	1
27234	1
33766	1
45884	1
28190	1
29095	1
30252	1
48563	1
26092	1
38733	1
22893	1
36283	1
29629	1
36199	1
12162	1
42817	1
24239	1
42153	1
21580	1
3.321	1
23325	1
22842	1
39602	1
45550	1
23513	1
1599	1
31056	1
20537	1
43312	1
49515	1
30285	1
45144	1
36886	1
309	1
19779	1
51004	1
38356	1
45736	1
19330	1
30788	1
15107	1
3586	1
341	1
12421	1
32924	1
42654	1
11391	1
8404	1
6026	1
55423	1
31485	1
11124	1
14485	1
29711	1
30390	1
7431	1
12814	1
24252	1
35045	1
36615	1
24814	1
18793	1
20937	1
45559	1
6161	1
51259	1
5635	1
40689	1
49243	1
12830	1
23668	1
23502	1
32878	1
47131	1
4834	1
26860	1
27428	1
38049	1
25222	1
35559	1
28603	1
10386	1
2.3	1
34169	1
43527	1
45540	1
11044	1
36831	1
35296	1
36121	1
40334	1
39159	1
44378	1
20879	1
36117	1
49265	1
1347	1
1504	1
8812	1
38152	1
48659	1
25387	1
49770	1
40748	1
18848	1
30746	1
46526	1
48572	1
46520	1
21282	1
49163	1
20265	1
17985	1
50021	1
15154	1
15998	1
30304	1
32367	1
55529	1
24437	1
45428	1
33518	1
21953	1
21863	1
19634	1
6040	1
49542	1
34070	1
35594	1
24516	1
48500	1
18584	1
42131	1
41053	1
50665	1
10696	1
46054	1
48142	1
32295	1
7599	1
43447	1
41826	1
15748	1
11532	1
19871	1
9806	1
21714	1
3.369	1
42449	1
3.206	1
64581	1
32898	1
45763	1
29856	1
49527	1
43792	1
7611	1
25241	1
42469	1
42589	1
48012	1
26680	1
35552	1
47515	1
47058	1
35597	1
38810	1
50510	1
1483	1
43451	1
21014	1
13374	1
12899	1
49194	1
25024	1
15478	1
46554	1
32509	1
19722	1
45437	1
16762	1
8931	1
47500	1
41895	1
28144	1
49767	1
16730	1
21704	1
20079	1
13865	1
37993	1
31318	1
47757	1
21505	1
25389	1
33627	1
22068	1
40130	1
29229	1
24826	1
49545	1
41373	1
21796	1
24980	1
23942	1
39357	1
49464	1
43931	1
38032	1
37212	1
17017	1
50674	1
48203	1
14221	1
16408	1
24524	1
4823	1
23174	1
25618	1
31704	1
30682	1
31735	1
26378	1
45367	1
1206	1
45051	1
24656	1
33581	1
26812	1
15787	1
26655	1
3152	1
17362	1
30581	1
4926	1
3390	1
43429	1
22504	1
20793	1
50587	1
12936	1
51229	1
42121	1
33152	1
13963	1
31289	1
39148	1
31491	1
19636	1
15796	1
23687	1
9869	1
49293	1
45738	1
10148	1
3.279	1
32373	1
42707	1
25838	1
16290	1
26598	1
49665	1
16396	1
42130	1
